iter	Passed	Remaining
0	121	121105
1	122	61359
2	124	41335
3	126	31385
4	127	25443
5	129	21454
6	131	18605
7	133	16516
8	135	14871
9	136	13551
10	138	12457
11	140	11546
12	142	10784
13	143	10102
14	145	9527
15	147	9053
16	148	8597
17	150	8206
18	152	7860
19	154	7550
20	155	7263
21	157	7001
22	159	6768
23	161	6553
24	179	6996
25	181	6794
26	183	6599
27	184	6414
28	186	6245
29	188	6087
30	189	5917
31	190	5776
32	192	5645
33	194	5524
34	196	5408
35	197	5298
36	199	5198
37	201	5100
38	203	5007
39	204	4916
40	206	4833
41	208	4752
42	209	4673
43	211	4597
44	213	4526
45	214	4458
46	216	4383
47	217	4320
48	219	4262
49	220	4195
50	222	4144
51	224	4093
52	226	4041
53	227	3991
54	229	3944
55	231	3899
56	233	3855
57	234	3811
58	236	3771
59	238	3731
60	239	3692
61	241	3654
62	243	3616
63	244	3581
64	246	3545
65	248	3511
66	249	3478
67	251	3450
68	253	3419
69	255	3388
70	256	3358
71	258	3331
72	260	3304
73	261	3277
74	263	3250
75	265	3227
76	267	3205
77	269	3181
78	270	3157
79	272	3133
80	274	3110
81	275	3088
82	277	3066
83	279	3045
84	280	3024
85	282	3004
86	284	2984
87	286	2965
88	287	2945
89	289	2926
90	291	2907
91	292	2889
92	294	2871
93	296	2853
94	298	2839
95	299	2824
96	301	2808
97	303	2792
98	305	2776
99	306	2761
100	308	2745
101	310	2730
102	311	2717
103	313	2704
104	315	2689
105	317	2675
106	318	2661
107	320	2647
108	322	2634
109	323	2621
110	325	2607
111	327	2596
112	328	2579
113	330	2567
114	332	2555
115	333	2543
116	335	2531
117	337	2519
118	338	2508
119	340	2496
120	342	2486
121	343	2475
122	345	2464
123	347	2453
124	349	2443
125	350	2432
126	352	2422
127	354	2411
128	355	2401
129	357	2392
130	359	2383
131	360	2373
132	362	2362
133	364	2352
134	365	2343
135	367	2334
136	369	2325
137	370	2316
138	372	2308
139	374	2300
140	376	2291
141	377	2283
142	379	2275
143	381	2267
144	383	2258
145	384	2250
146	386	2243
147	388	2235
148	389	2227
149	391	2219
150	393	2211
151	394	2203
152	396	2195
153	398	2188
154	400	2180
155	401	2171
156	403	2164
157	404	2158
158	406	2151
159	408	2143
160	410	2136
161	411	2129
162	413	2123
163	415	2116
164	417	2110
165	418	2104
166	420	2097
167	422	2090
168	423	2080
169	424	2074
170	426	2067
171	428	2061
172	429	2051
173	431	2046
174	432	2041
175	434	2035
176	436	2029
177	438	2023
178	440	2018
179	441	2012
180	443	2006
181	445	2000
182	446	1994
183	448	1989
184	450	1983
185	452	1978
186	453	1972
187	455	1967
