Employee_ID,Department,Employee_Level,Expense_Type,Expense_Amount,Approved_Amount,Submission_Delay_Days,Employee_Rating,Years_With_Company,Has_Receipt,Country,Is_Fraudulent,Claim_Difference,Approval_Ratio
E0001,IT,Mid,Food,146.86,115.68,21,2.7,3,1,UK,0,31.18,0.79
E0002,Operations,Senior,Food,1410.89,1212.21,3,4.2,9,0,Singapore,1,198.68,0.86
E0003,Sales,Senior,Stay,921.39,678.54,11,3.7,1,1,USA,0,242.85,0.74
E0004,HR,Junior,Client Entertainment,1366.89,958.24,17,2.6,13,1,India,0,408.65,0.7
E0005,Finance,Junior,Travel,756.77,737.99,25,2.2,0,1,USA,1,18.78,0.98
E0006,Finance,Junior,Food,1669.7,1321.5,7,3.8,4,1,USA,1,348.2,0.79
E0007,Finance,Mid,Travel,945.39,724.6,16,2.1,5,1,USA,1,220.79,0.77
E0008,Operations,Mid,Supplies,1179.76,1073.04,24,2.2,1,1,UK,0,106.72,0.91
E0009,Sales,Mid,Supplies,821.14,785.03,23,4.1,2,0,India,1,36.11,0.96
E0010,Sales,Junior,Client Entertainment,641.15,570.42,2,3.6,9,1,USA,0,70.73,0.89
E0011,Finance,Junior,Food,303.63,235.72,25,3.0,2,1,USA,0,67.91,0.78
E0012,Operations,Mid,Stay,1314.28,1259.73,3,3.6,1,1,India,0,54.55,0.96
E0013,Sales,Mid,Food,1158.17,988.06,9,3.8,3,0,UK,0,170.11,0.85
E0014,IT,Junior,Travel,1037.48,844.88,15,3.7,13,1,India,1,192.6,0.81
E0015,Finance,Mid,Supplies,544.55,479.98,19,3.9,4,1,India,0,64.57,0.88
E0016,Finance,Junior,Travel,1566.19,1425.52,1,4.8,7,1,UAE,0,140.67,0.91
E0017,IT,Senior,Client Entertainment,1042.35,915.34,11,3.2,5,1,India,0,127.01,0.88
E0018,HR,Senior,Supplies,1281.16,1250.5,15,2.9,14,1,India,1,30.66,0.98
E0019,IT,Junior,Stay,998.81,887.34,26,2.1,8,0,USA,1,111.47,0.89
E0020,IT,Junior,Supplies,564.23,543.68,9,2.4,2,1,UAE,1,20.55,0.96
E0021,Sales,Mid,Food,1396.97,1223.87,4,2.3,9,1,UAE,0,173.1,0.88
E0022,Finance,Junior,Food,1180.31,942.95,28,3.0,8,0,USA,1,237.36,0.8
E0023,IT,Mid,Supplies,927.44,797.31,11,3.8,10,1,India,0,130.13,0.86
E0024,IT,Senior,Client Entertainment,1173.47,851.82,2,2.1,13,1,UAE,0,321.65,0.73
E0025,HR,Mid,Food,1327.02,1020.55,11,4.2,10,1,USA,0,306.47,0.77
E0026,Sales,Senior,Food,1264.08,1175.43,26,3.2,3,1,India,1,88.65,0.93
E0027,Finance,Mid,Stay,315.47,283.43,0,4.9,7,1,Singapore,0,32.04,0.9
E0028,HR,Junior,Supplies,403.92,302.92,1,3.7,9,1,India,0,101.0,0.75
E0029,HR,Senior,Food,1293.14,1075.12,10,4.3,6,1,India,0,218.02,0.83
E0030,Finance,Mid,Client Entertainment,721.55,535.82,11,4.6,13,0,Singapore,0,185.73,0.74
E0031,Sales,Mid,Travel,580.55,555.44,6,4.7,6,1,USA,0,25.11,0.96
E0032,Finance,Junior,Supplies,1148.84,841.81,0,3.6,8,1,India,0,307.03,0.73
E0033,Finance,Junior,Stay,568.42,509.46,27,3.2,9,1,India,1,58.96,0.9
E0034,Operations,Executive,Food,808.34,713.04,12,3.7,13,1,USA,0,95.3,0.88
E0035,Operations,Junior,Client Entertainment,1340.91,1128.82,12,3.2,14,1,India,0,212.09,0.84
E0036,Sales,Executive,Supplies,394.34,308.96,1,2.7,1,1,India,1,85.38,0.78
E0037,IT,Executive,Client Entertainment,452.69,371.75,29,3.0,4,0,USA,1,80.94,0.82
E0038,Finance,Senior,Client Entertainment,355.6,334.95,9,2.7,2,1,Singapore,0,20.65,0.94
E0039,Sales,Mid,Stay,655.53,608.64,22,2.8,6,1,USA,0,46.89,0.93
E0040,IT,Mid,Supplies,1033.09,952.14,0,2.3,2,1,UK,1,80.95,0.92
E0041,Finance,Senior,Food,752.48,696.01,6,3.3,4,1,UK,0,56.47,0.92
E0042,HR,Junior,Stay,1601.34,1190.06,12,2.7,4,1,UK,0,411.28,0.74
E0043,Finance,Mid,Food,1182.12,862.63,23,3.3,1,1,India,0,319.49,0.73
E0044,Operations,Mid,Travel,992.47,951.24,26,4.4,10,1,Singapore,0,41.23,0.96
E0045,IT,Mid,Client Entertainment,1506.96,1433.35,28,3.3,0,1,USA,0,73.61,0.95
E0046,Sales,Mid,Travel,467.68,422.97,29,4.9,11,1,India,0,44.71,0.9
E0047,IT,Junior,Client Entertainment,1346.63,1187.42,1,2.4,5,1,India,1,159.21,0.88
E0048,HR,Mid,Stay,905.5,733.51,19,4.6,12,0,UK,0,171.99,0.81
E0049,HR,Senior,Food,817.87,627.49,6,2.7,0,1,India,1,190.38,0.77
E0050,Finance,Junior,Food,1244.43,1120.36,16,4.8,8,1,India,0,124.07,0.9
E0051,Operations,Executive,Stay,835.0,813.21,21,2.7,9,1,UK,1,21.79,0.97
E0052,Sales,Mid,Supplies,1072.76,891.57,4,4.2,4,0,Singapore,0,181.19,0.83
E0053,Operations,Senior,Travel,960.04,759.35,10,2.2,0,1,USA,1,200.69,0.79
E0054,Operations,Mid,Travel,1122.58,876.99,21,3.9,11,1,India,1,245.59,0.78
E0055,HR,Senior,Food,797.17,563.69,23,2.7,7,1,India,1,233.48,0.71
E0056,Operations,Junior,Food,1370.7,1173.45,10,4.0,0,0,USA,0,197.25,0.86
E0057,Finance,Senior,Food,182.33,181.68,10,3.9,3,1,India,0,0.65,1.0
E0058,Finance,Junior,Stay,1256.36,1186.72,16,4.8,6,1,USA,0,69.64,0.94
E0059,Finance,Senior,Supplies,243.5,236.01,18,3.9,3,1,India,0,7.49,0.97
E0060,IT,Executive,Travel,698.62,619.22,26,3.2,11,1,UAE,0,79.4,0.89
E0061,IT,Junior,Client Entertainment,1208.94,1020.87,28,2.6,4,1,USA,1,188.07,0.84
E0062,IT,Junior,Stay,194.53,193.98,24,4.0,6,1,India,0,0.55,1.0
E0063,Sales,Senior,Travel,1066.59,889.7,27,2.3,3,1,Singapore,1,176.89,0.83
E0064,IT,Junior,Supplies,451.46,440.2,7,4.5,4,1,India,0,11.26,0.98
E0065,IT,Senior,Stay,612.37,568.62,19,2.7,6,1,India,0,43.75,0.93
E0066,HR,Junior,Travel,593.97,474.76,26,3.6,0,1,Singapore,1,119.21,0.8
E0067,Finance,Junior,Stay,462.67,393.69,13,3.8,14,1,India,0,68.98,0.85
E0068,Sales,Executive,Travel,308.16,251.24,9,3.1,11,0,USA,0,56.92,0.82
E0069,Finance,Mid,Travel,1828.47,1354.66,24,4.0,14,1,India,0,473.81,0.74
E0070,Operations,Senior,Supplies,927.01,748.13,6,2.8,2,1,India,0,178.88,0.81
E0071,Sales,Junior,Client Entertainment,505.03,488.21,1,2.1,0,1,India,0,16.82,0.97
E0072,Finance,Mid,Supplies,775.15,717.63,16,4.9,13,1,UK,0,57.52,0.93
E0073,Finance,Mid,Travel,1014.66,794.76,0,3.0,14,1,USA,0,219.9,0.78
E0074,Sales,Mid,Stay,848.52,687.62,12,4.1,14,0,India,1,160.9,0.81
E0075,Sales,Mid,Supplies,493.26,436.5,18,3.5,14,1,India,1,56.76,0.88
E0076,Sales,Mid,Client Entertainment,640.31,528.15,28,4.0,2,1,UAE,1,112.16,0.82
E0077,Sales,Mid,Travel,1474.29,1254.49,13,2.3,10,1,UAE,1,219.8,0.85
E0078,Finance,Junior,Supplies,438.91,399.17,25,3.6,1,1,USA,1,39.74,0.91
E0079,IT,Senior,Supplies,201.21,169.05,17,3.2,4,1,Singapore,0,32.16,0.84
E0080,Finance,Junior,Supplies,844.82,639.77,19,3.4,9,1,UK,0,205.05,0.76
E0081,Operations,Mid,Supplies,227.31,194.62,13,4.9,4,1,India,0,32.69,0.86
E0082,Sales,Junior,Stay,636.09,513.22,14,2.4,9,1,India,0,122.87,0.81
E0083,IT,Mid,Client Entertainment,499.23,393.0,13,4.3,8,1,India,0,106.23,0.79
E0084,Finance,Senior,Client Entertainment,502.72,401.39,23,3.0,7,1,Singapore,1,101.33,0.8
E0085,IT,Junior,Travel,1027.81,854.83,4,2.9,2,1,UK,0,172.98,0.83
